E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12
0,220,400,580,760,940,130,310,490,670,850,40
220,0,40,220,400,580,760,940,130,310,490,670
400,40,0,850,40,220,400,580,760,940,130,310
580,220,850,0,670,850,40,220,400,580,760,940
760,400,40,670,0,490,670,850,40,220,400,580
940,580,220,850,490,0,310,490,670,850,40,220
130,760,400,40,670,310,0,130,310,490,670,850
310,940,580,220,850,490,130,0,940,130,310,490
490,130,760,400,40,670,310,940,0,760,940,130
670,310,940,580,220,850,490,130,760,0,580,760
850,490,130,760,400,40,670,310,940,580,0,400
40,670,310,940,580,220,850,490,130,760,400,0
